TIME,CHINESE NAME,ENGLISH NAME,MEMO,GOOGLE MAP LINK,SHOW,TICKET MEMO,TICKET LINK,LATITUDE,LONGTITUDE,PAGE LINK NAME
Day1 | 2/11 | Wed,台北 -> 米蘭,,,,TRUE,,,,,
07:15,飛機抵達,,去程 BR95 | 從台北 | 2026/2/10 星期二 23:05 | 到米蘭 | 2026/2/11 星期三 7:15,https://maps.app.goo.gl/5fQ4NXqF9Q3ckS2z5,TRUE,BOOKED,,45.6227139,8.7282345,
,前往 Airbnb,,"MXP -> Milano Porta Garibaldi
https://www.airbnb.com/rooms/5581156?viralityEntryPoint=1&s=76","https://www.google.com/maps/place/Via+Pontida,+2,+20121+Milano+MI,+Italy/@45.4867907,9.1943217,4583m/data=!3m1!1e3!4m6!3m5!1s0x4786c1368010abaf:0xe5bfe7053b3a0618!8m2!3d45.4799762!4d9.1830519!16s%2Fg%2F11dyn6q5xn!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",TRUE,,,45.4799762,9.1830519,
,吃點早餐,,"Starbucks Roastery 臻選工坊 7:30-22:00
Ciacco 冰淇淋 8:00-22:00（週六9-22、周日13-20）
Panzerotti Luini 吃炸餃子 10:00-20:00 周日公休",,TRUE,,,,,
,艾曼紐迴廊,Galleria Vittorio Emanuele II,"精品街、公牛蛋蛋轉三圈
Prada, Gucci 大概10-10:30開",https://maps.app.goo.gl/14DwreXkdx68CmUy6,TRUE,,,45.4658434,9.1899401,
10:00,老百貨公司,Rinascente Milano,老百貨公司 七樓有廁所和露天咖啡廳，10:00 - 21:00,"https://www.google.com/maps/place/Rinascente+Milano/@45.4649405,9.1892425,17z/data=!3m2!4b1!5s0x4786c6aedff04d81:0x7ca27065737b1a32!4m6!3m5!1s0x4786c7353734920b:0xa1256c858b154aa8!8m2!3d45.4649368!4d9.1918228!16s%2Fg%2F11h9pbqh6v?entry=ttu&g_ep=EgoyMDI1MDcyMy4wIKXMDSoASAFQAw%3D%3D",TRUE,,,45.4649368,9.1918228,
,午餐,,"Spontoni 厚厚披薩 11:00-23:00
Zia Esterina Sorbillo 炸披薩 11:00-21:00",,TRUE,,,,,
14:00,Check in ,,,,TRUE,,,,,
,前往最後的晚餐,,搭地鐵橘線或是紅線，從Lanza M2 搭到 S Maria Delle Grazie Cenacolo Vinciano,,TRUE,,,,,
15:30,最後的晚餐博物館,Leonardo's Last Supper Museum,"Tickets mut be activated 30 minutes before the time of your visit
可以買15:00/17:00/17:30的票，只能看15分鐘",https://maps.app.goo.gl/DvuFUCGjzJkkhrgi7,TRUE,BOOKED,🎫,45.4661853,9.1706005,SantaMariaDelleGrazie.html
,,,,,TRUE,,,,,
,,,,,TRUE,,,,,
,,,,,TRUE,,,,,
Day2 | 2/12 | Thu,米蘭 -> 威尼斯,水上巴士地圖 https://actv.avmspa.it/sites/default/files/avm/navigazione/MAP/interattiva.html ,,水上巴士地圖 https://actv.avmspa.it/sites/default/files/avm/navigazione/MAP/interattiva.html ,TRUE,,24小時船票,,,
09:35-12:03,米蘭到威尼斯,,Italo 9:35-12:03 到 Lucia  記得先查入城費 避免被罰,https://maps.app.goo.gl/YE3UnoQjfVQ7h6kX8,TRUE,BOOKED,,45.0241,9.4328293,
,Lucia -> 住宿,Venice and Venice apartments,"搭船再走9分鐘, Venice and Venice Apartments - private rooms in shared apartment",https://maps.app.goo.gl/hXd1U4TffyxQvr5h9,TRUE,,,45.4406338,12.3387941,
,搭船 有點遠,,,,TRUE,,,,,
13:00,午餐想辦法靠近總督宮吃,,,,TRUE,,,,,
